Name,Url,Authority,Started On,Finished On,License Number
What Is Generative AI?,https://www.linkedin.com/learning/certificates/4ff82222df2f76bcdb3309bd1f7bf1b48f48af5a38fae22683d6f7545d637035,LinkedIn,May 2024,,
Generative AI: The Evolution of Thoughtful Online Search,https://www.linkedin.com/learning/certificates/f4623490a71dd4432dfccdbd6d42678c2e9ec3c46f44a771a6e0efffb487e30b,LinkedIn,May 2024,,
Streamlining Your Work with Microsoft Copilot,https://www.linkedin.com/learning/certificates/c7618bf17d530916cc8e31e178bd3249f8a7016489fbf08923ac3e5463fbb0f6,LinkedIn,May 2024,,
Learning Microsoft 365 Copilot,https://www.linkedin.com/learning/certificates/89c741d032ddbff120cce77dfbf2ac2ad2ab417d425b9e0c10868106265454e5,LinkedIn,May 2024,,
Ethics in the Age of Generative AI,https://www.linkedin.com/learning/certificates/7ba838b2cd061b005e5596a7bfe331a5531f5f7043b1439080f1dd6957299066,LinkedIn,May 2024,,
Gemini in Google Docs,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9135113?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9135113
Introduction to Responsible AI,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9151812?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9151812
Gemini in Google Meet,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9151522?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9151522
Gemini in Google Sheets,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9141977?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9141977
Gemini in Google Slides,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9141946?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9141946
Gemini in Google Docs,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9135113?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9135113
Gemini in Gmail,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9134984?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9134984
Introduction to Gemini for Google Workspace,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/9134818?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,May 2024,,9134818
Introduction to Large Language Models,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/8802151?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Apr 2024,,8802151
Introduction to Artificial Intelligence,https://www.linkedin.com/learning/certificates/ccdf29775d7c6630447b66748f99e91a69c2e9aac94dda0c734d9f27ea559ad8,LinkedIn,May 2024,,
Career Essentials in Generative AI by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/83fc309fdd74841a7853778779b161ce5728bb516a64321dc1bc3fb8d04a4f12,Microsoft,May 2024,,
Google Certifications,https://www.cloudskillsboost.google/public_profiles/73fd1a6e-8ae1-45db-bf81-aef2047f1f50/badges/10338838?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share,Google,Aug 2024,,10338838
Microsoft Copilot for Security,https://www.linkedin.com/learning/certificates/5547470f3b75868da21c114733c10b610a7772782833d6d7d98847dc68110c65,LinkedIn,Oct 2024,,
AI Aware Badge - AI For All,https://ai-for-all.in/#/badge?id=U2FsdGVkX191PhT3zNTvhUJmsiVGeIv2yBbJiNj3O2JB6NFpaNsCd3CbRbmyBATt,CBSE and Intel,Oct 2024,,U2FsdGVkX191PhT3zNTvhUJmsiVGeIv2yBbJiNj3O2JB6NFpaNsCd3CbRbmyBATt
HTML & CSS,https://verify.letsupgrade.in/certificate/LUEHTMLOCT124787,LetsUpgrade,Oct 2024,,
Prompt Engineering,https://verify.letsupgrade.in/certificate/LUEPEOCT124177,LetsUpgrade,Oct 2024,,
Graphic Designing Basics,,LetsUpgrade,Oct 2024,,
Goldman Sachs - Operations Job Simulation,https://forage-uploads-prod.s3.amazonaws.com/completion-certificates/MBA4MnZTNFEoJZGnk/wNge9cjzNTXD2acrv_MBA4MnZTNFEoJZGnk_bBi8bNYDErqisAyR3_1733448552562_completion_certificate.pdf,Forage,Dec 2024,,x96otXx8qn9A43Gq2
Certificate of Participation in AIQrew 2025,https://unstop.com/certificate-preview/396d3f89-2e6f-49a1-ad25-1040bca315ff?utm_campaign=site-emails,Unstop,Jan 2026,,396d3f89-2e6f-49a1-ad25-1040bca315ff
Google's TechSprint 2k25: The Arena of Vibe-Coding,https://credsverse.com/credentials/994c673b-eac3-4650-9fef-f0cba2a794de,United Latino Students Association,Feb 2026,,994c673b-eac3-4650-9fef-f0cba2a794de
BAD,https://credsverse.com/credentials/499c3647-85ac-48ca-83ca-039f2f0f9547?recipient=true,GDG,Feb 2026,,499c3647-85ac-48ca-83ca-039f2f0f9547
Certificate of Participation in HackO'Clock2.0,https://unstop.com/certificate-preview/da5f4348-ef1f-4f15-85c1-b3646509f4f7,Unstop,Feb 2026,,da5f4348-ef1f-4f15-85c1-b3646509f4f7
Certificate of Participation in Offline Round of SRM Builds 7.0,https://unstop.com/certificate-preview/d778679e-e7e1-4d51-a036-a3b23a1fe255,Unstop,Mar 2026,,d778679e-e7e1-4d51-a036-a3b23a1fe255
Certificate of Participation in AIQrew 2025,https://unstop.com/certificate-preview/396d3f89-2e6f-49a1-ad25-1040bca315ff,Unstop,Jan 2026,,396d3f89-2e6f-49a1-ad25-1040bca315ff
