Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Recruiting Techniques to Reveal Transferable Skills,"When filling opening job requisitions, do you often feel constricted by searching a pool of candidates filtered by job title or by specific industries? Imagine how satisfying it would be to have access to a larger pool of talent, one that might not be on the radar of your competitors. In this course, Barbara Bruno shows you how to identify top candidates based on the skills they have that will transfer to the jobs you need to fill, regardless of their previous titles or professional experience. Barbara explains how to identify transferable skills, revise your job requisition, and how to modify your interviewing and hiring processes. By focusing on transferable skills, you can provide your company with a tremendous competitive advantage—one that will fill open requisitions faster, help candidates advance in their career, and improve engagement and retention.",Course,2024-07-19 16:15 UTC,N/A,false,N/A,
Microsoft Security Copilot (2024),"<p>Microsoft Copilot for Security is a potential game-changer in the cybersecurity industry. Leveraging the power of generative AI, it rapidly turns questions, known as prompts, into intelligent and actionable guidance, revolutionizing the way you approach security defense. Copilot for Security allows you to complete tasks in minutes instead of a full day, streamline previously complex security operations, bridge the talent gap in cybersecurity, and more.</p><p>In this course, instructor Bryan Li delves into this important topic, covering the rise of generative AI, how it affects cybersecurity leaders and professionals, and how to get started with Copilot for Security. Explore the key capabilities of Copilot for Security and how to apply it in everyday security operations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-cybersecurity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-09-05 00:37 UTC,2024-10-02 09:13 UTC,false,N/A,
Working with Computers and Devices,"<p>Technology has become intertwined with nearly every aspect of our lives. Many tasks like applying for jobs or shopping for clothes have become digitized. And in the new world of work, basic digital literacy can help job seekers unlock new opportunities. If you are interested in learning more about computers but aren't sure how to get started, then this course is for you. Join senior staff instructor Garrick Chow as he covers the basics of working with devices like computers, tablets, and smartphones. Using jargon-free language, he demystifies unfamiliar concepts and helps to solidify what you already knew.</p><p>Learn about the different hardware parts that make up a computer. Explore the fundamentals of working with operating systems and applications, as well as how to keep your computer secure. Plus, learn how to work with essential productivity programs like word processors and spreadsheet tools. Follow along and learn the technical skills you need to succeed in our digital world.</p><p>Note: This course and <i>Working and Collaborating Online</i> are part of the Microsoft Philanthropies Digital Literacy curriculum.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-literacy-and-productivity-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-08-03 03:10 UTC,N/A,false,N/A,
Learning Data Analytics Part 2: Extending and Applying Core Knowledge,"<p>It’s one thing to work with data. It’s another to provide quality data sets and accurate visualizations for decisions to be made. If you are considering a course emphasis or a career in data analytics, this course can help you get off to a good start. Robin Hunt, CEO and co-founder of ThinkData Solutions, shares practical skills to help you get the most from your data and jumpstart your career in data. Robin discusses business rules, filtering out the noise in the data we all deal with, and how to deliver what decision-makers want. She covers how to create data sets with queries, joins, and appends, then goes into building aggregate data with total queries. Robin goes over pivots, how to use pivots to build basic dashboards and visualizations, and how to use Power Query for data transformations. She concludes with best practices for meetings and taking your work to the next level for your organization. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2024-08-19 02:01 UTC,N/A,false,N/A,
Managing Projects with Microsoft Teams (2022),"Microsoft Teams is the communication and teamwork hub of Microsoft 365. Teams brings together the conversations, files, and meetings that team members collaborate on together—making it an ideal tool for managing projects. In this course, Microsoft Certified Trainer, Microsoft MVP, and project manager Heather Severino walks through everything you need to know to manage small- to medium-sized projects in Teams. Heather starts by showing how to set up a team and manage permissions. She then covers how to manage files, connect SharePoint lists and pages, take notes, manage online meetings, and collect project feedback. Plus, Heather explains how to be even more efficient in Teams by using keyboard shortcuts and leveraging existing teams as templates.",Course,2024-05-07 01:28 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence (2023),"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible. </p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2024-06-20 07:26 UTC,2024-05-26 12:37 UTC,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-08-25 00:34 UTC,2024-05-06 09:52 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5908138,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5908138,Course,2024-05-26 12:15 UTC,2024-05-09 10:06 UTC,false,N/A,
Generative AI: The Evolution of Thoughtful Online Search,"<p>For years, we’ve relied on search engines like Google and Bing to help us navigate the ever-evolving internet. But now that reasoning engines like Chat-GPT have come onto the scene, how can you prepare for the future of online search? In this course, instructor Ashley Kennedy shows you how to get up to speed with the key distinctions and best practices of using reasoning engines that leverage generative AI.</p><p>Learn more about the core concepts of generative AI-driven reasoning engines and how they differ from search engine strategy. Along the way, Ashley interviews subject matter experts and offers easy-to-follow advice on how to harness the power of prompt engineering with thoughtful search strategies that help account for the nuances of language, tone, qualifiers, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2024-08-25 00:34 UTC,2024-05-07 01:25 UTC,false,N/A,
Testing in React: Beyond Unit Tests,"In this course, learn how to implement different testing strategies for your React applications. Join instructor Ayodele Aransiola in this interactive learning experience as he covers test-driven development practices and mocking strategy for asynchronous data. By the end of this course, you should be able to build production-ready React applications with quality testing suites.",Course,2026-05-14 12:59 UTC,N/A,false,N/A,
Advanced Google Analytics,"Unlock the advanced capabilities of Google Analytics and take your skills to the next level. This course takes an in-depth look at Google Analytics, teaching advanced techniques that can help you use this popular and powerful analytics tool to glean better insights. Discover how to create and manage filters, create custom channel groupings, and interact with segments. Plus, find out how to create custom calculated metrics; debug your analytics setup; and more.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2024-07-27 00:04 UTC,N/A,false,N/A,
