Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Tue May 20 16:36:25 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 16:36:39 UTC 2025,SERVICE_MARKETPLACE,"Hi Gautam, I’m Sathish Sagar, a resume and career branding specialist. I can craft a compelling traditional resume from scratch that highlights your CSE background, skills in C/C++, Python, HTML/CSS, and your journey mastering DSA. Along with this, I’ll create a customized cover letter aligned with your career goals and also optimize your LinkedIn profile to increase visibility and recruiter engagement. Let’s position you strongly for software engineering roles. Looking forward to helping you stand out!  Best regards, Sathish Sagar",,,,
Tue May 20 16:36:55 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:10:17 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:10:52 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:09:42 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:10:37 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:09:45 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:10:14 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:10:27 UTC 2025,SERVICE_MARKETPLACE,,,,,
Tue May 20 23:10:46 UTC 2025,SERVICE_MARKETPLACE,,,,,
